	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
1928	hCoV-19/Chile/RM-UNAB-0263-05126260/2021	EPI_ISL_3242698	Clinica INDISA	Facultad de Ciencias de la Vida, UNAB	Claudio Meneses, Eduardo Castro, Waldo Diaz, Macarena Bastias, Ricardo Yusta, Susana Saez, Dayan Sanhueza, Sebastian Wolter, Daniel Leon, Gonzalo Campaña, Paola Pidal, Víctor Monreal, Claudio Olmos, Ariel Orellana
1929	hCoV-19/Argentina/PAIS-G0319/2021	EPI_ISL_2940278	Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández, FD; Marquez, N.; Debat, HJ.; M; Re, V.; Pisano, M.B.; Castro, G.; Barbas, G.
1930	hCoV-19/USA/NE-NCOV21-24049/2021	EPI_ISL_2966502	Nebraska Public Health Laboratory	NPHL COVID-19 Response Team	NPHL COVID-19 Response Team
1931	hCoV-19/Argentina/PAIS-J00050/2021	EPI_ISL_3916086	Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez, Erica Struss, Victoria Femenías, Esteban Paredes, Andrea Ayala, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1932	hCoV-19/Argentina/PAIS-J00049/2021	EPI_ISL_3825478	Hosp. Pediatrico Dr. Avelino Castelán	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Andrea Gili, María Cecilia López, Julieta Ronchi, Gioia Lucia Marino, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1933	hCoV-19/Argentina/PAIS-J00059/2021	EPI_ISL_3825487	Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez, Erica Struss, Victoria Femenías, Esteban Paredes, Andrea Ayala, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1934	hCoV-19/Brazil/AM-FIOCRUZ-21890859DXO/2021	EPI_ISL_2777925	Laboratório Central de Saúde Pública do Amazonas - LACEN-AM	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Valdinete Nascimento, Victor Souza, André Corado, Fernanda Nascimento, George Silva, Ágatha Costa, Debora Duarte, Karina Pessoa, Matilde Mejía, Luciana Gonçalves, Maria Júlia Brandão, Michele Jesus, Felipe Naveca
1935	hCoV-19/Brazil/AM-FIOCRUZ-21897340RSF/2021	EPI_ISL_3050478	Laboratório Central de Saúde Pública do Amazonas - LACEN-AM	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Valdinete Nascimento, Victor Souza, André Corado, Fernanda Nascimento, George Silva, Ágatha Costa, Karina Pessoa, Matilde Mejía, Luciana Gonçalves, Maria Júlia Brandão, Felipe Naveca
1936	hCoV-19/Curacao/CW-RIVM-44497/2021	EPI_ISL_3136569	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1937	hCoV-19/Colombia/ANT-CWOHC-VG-SEC00942F/2021	EPI_ISL_3276540	ADILAB	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López, Andres F. Cardona-Rios, Daniel O. Maldonado-Perez, Simón Villegas Velásquez, Lina M. Hurtado, Laura Silvana Perez, Karl A Ciuoderis, Maria Angélica Maya, Carolina Muñoz-Arango, Celeny Ortiz, Rita Almanza Payares, Idabely Betancur Ortiz, Sandra Ines Cano, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Katherine Laiton-Donato, Hector Alejandro Ruiz-Moreno, Marcela Mercado-Reyes, Jorge E. Osorio, Juan P. Hernandez-Ortiz
1938	hCoV-19/Colombia/CAQ-INS-VG-4837/2021	EPI_ISL_3459387	LDSP CAQUETA	Instituto Nacional de Salud	Katherine Laiton-Donato, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Hector Alejandro Ruiz-Moreno, Paola Rojas, Maria T. Herrera-Sepúlveda, Diego Andrés Prada, Jhonnatan Reales-González, Sheryll Corchuelo, Julian Naizaque, Jorge Rivera, Gerardo Santamaría, Sergio Gomez, Lisseth Pardo, Juan Camilo Martinez, Marta Lopez Blanco, Ángela Alarcon Cruz, Diana Malo, Carmen Osorio, Magdalena Wiesner, Martha Lucia Ospina Martinez, Marcela Mercado-Reyes
1939	hCoV-19/Brazil/SP-IB_102289/2021	EPI_ISL_2345327	CENTRO DE SAUDE III CANDIDO RODRIGUES	Instituto Butantan / ESALQ-Piracicaba	Dimas Tadeu Covas, Antonio Jorge Martins, Claudia Renata dos Santos Barros, David Schlesinger, Debora Botequio Moretti, Elaine Cristina Marqueze, Elaine Vieira Santos, Evandra Strazza Rodrigues, Heidge Fukumasu, Jayme Augusto de Souza-Neto, José Salvatore Leister Patané, Luiz Alcantara, Luiz Lehmann Coutinho, Maria Carolina Elias, Maurício Lacerda Nogueira, Rafael dos Santos Bezerra, Raul Machado Neto, Rejane Maria Tommasini Grotto, Ricardo Haddad, Sandra Coccuzzo Sampaio Vessoni, Simone Kashima, Svetoslav Nanev Slavov, Vincent Louis Viala
1940	hCoV-19/Brazil/PB-FIOCRUZ-44647/2021	EPI_ISL_3827853	Laboratorio Central de Saude Publica do Estado da Paraiba (LACEN/PB)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende, Luciana Appolinario, Fernando Motta, Anna Carolina Paixao, Ana Carolina Mendonca, Alice Sampaio Rocha, Taina Venas, Elisa Cavalcante Pereira, Renata Serrano Lopes, Joao Felipe Bezerra, Dalane Loudal Florentino Teixeira, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network
1941	hCoV-19/Suriname/SR-272/2021	EPI_ISL_2502491	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1942	hCoV-19/Brazil/RJ-LNN01203/2021	EPI_ISL_2385492	Laboratorio Central Noel Nutels	Bioinformatics Laboratory / LNCC	Luiz G P de Almeida, Alessandra P Lamarca, Ronaldo da Silva F Jr, Liliane Cavalcante, Alexandra L Gerber, Ana Paula de C Guimaraes, Douglas Terra Machado, Cassia Alves, Diana Mariani, Cintia Policarpo, Gleidson da Silva de Oliveira, Mario Sergio Ribeiro, Silvia Carvalho, Flavio Dias da Silva, Marcio Henrique de Oliveira Garcia, Leandro Magalhaes de Souza, Cristiane Gomes da Silva, Caio Luiz Pereira Ribeiro, Andrea Cony Cavalcanti, Claudia Maria Braga de Mello, Amilcar Tanuri, Ana Tereza R Vasconcelos
1943	hCoV-19/Brazil/PE-FIOCRUZ-IAM1998/2021	EPI_ISL_3134645	LACEN/PE	WallauLab on behalf of Fiocruz COVID-19 Genomic Surveillance Network	Marcelo Henrique dos Santos Paiva, Cassia Docena, Matheus Filgueira Bezerra, Filipe Zimmer Dezordi, Lais Ceschini Machado, Lilian Caroliny Amorim Silva, Gustavo Barbosa de Lima, Alexandre Freitas da Silva, Sinval Pinto Brandão Filho, Constância Flávia Junqueira Ayres, Gabriel Luz Wallau
1944	hCoV-19/Brazil/SP-SJRP50888/2021	EPI_ISL_3761730	Laboratorio de Pesquisa em Virologia, FAMERP, SJRP	Laboratorio de Pesquisa em Virologia, FAMERP, SJRP	Cecília Artico Banho; Beatriz de Carvalho Marques; Lívia Sacchetto; Marília Moraes; Guilherme Campos; Fábio Sossai Possebon; Leila Sabrina Ullmann; Cíntia Bittar; Helena Lage Ferreira; Jorge A. Petroli Marchesi; Maisa C. Pereira Parra; Paula Rahal; Paulo Inacio da Costa; João Pessoa Araújo Jr.; Maurício L. Nogueira.
1945	hCoV-19/Brazil/GO-HLAGYN-1812019/2021	EPI_ISL_3274784	HLAGYN - Laboratorio de Imunologia de Transplantes de Goias	HLAGYN - Laboratorio de Imunologia de Transplantes de Goias	Fernando Antonio Vinhal dos Santos, Erika Lopes Rocha Batista, Alessandro Leonardo Alvares Magalhaes, Frederico Rodrigues Vinhal, Sabrina Sara Moreira Duarte, Lucas Carlos Gomes Pereira, Kamila Oliveira Reis De Freitas.
1946	hCoV-19/Brazil/SP-3887/2021	EPI_ISL_3259757	Instituto Adolfo Lutz Central	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos, Caio Vinicius Dias Lopes, Leonardo Tadeu de Araujo, Marlon Benedito Nascomento Santos
1947	hCoV-19/Chile/AP-93275/2021	EPI_ISL_2509132	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
1948	hCoV-19/Chile/AP-104571/2021	EPI_ISL_2659132	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
1949	hCoV-19/Colombia/ANT-CWOHC-VG-SEC00654D/2021	EPI_ISL_2621155	Synlab	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López, Andres F. Cardona-Rios, Daniel O. Maldonado-Perez, Simón Villegas Velásquez, Lina M. Hurtado, Laura Silvana Perez, Karl A Ciuoderis, Maria Angélica Maya, Carolina Muñoz-Arango, Celeny Ortiz, Rita Almanza Payares, Idabely Betancur Ortiz, Sandra Ines Cano, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Katherine Laiton-Donato, Hector Alejandro Ruiz-Moreno, Marcela Mercado-Reyes, Jorge E. Osorio, Juan P. Hernandez-Ortiz
1950	hCoV-19/Suriname/SR-282/2021	EPI_ISL_2502498	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1951	hCoV-19/Suriname/SR-322/2021	EPI_ISL_3462606	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1952	hCoV-19/Suriname/SR-363/2021	EPI_ISL_3462543	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1953	hCoV-19/Suriname/SR-243/2021	EPI_ISL_2502480	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1954	hCoV-19/Suriname/SR-372/2021	EPI_ISL_3462560	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1955	hCoV-19/Suriname/SR-291/2021	EPI_ISL_2502504	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1956	hCoV-19/Suriname/SR-414/2021	EPI_ISL_3462670	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1957	hCoV-19/Suriname/SR-266/2021	EPI_ISL_2502396	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1958	hCoV-19/Suriname/SR-524/2021	EPI_ISL_3462724	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1959	hCoV-19/Suriname/SR-455/2021	EPI_ISL_3462692	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1960	hCoV-19/Suriname/SR-474/2021	EPI_ISL_3462596	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1961	hCoV-19/Suriname/SR-527/2021	EPI_ISL_3462726	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1962	hCoV-19/Suriname/SR-526/2021	EPI_ISL_3462725	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink, Cherise Beek, Consuella Partowidjojo, Dion Gajadin, Ed PF IJzerman, Emmanuelle Munger, Gary Gummels, Ingrid SK Krishnadath, Lycke Woittiez, Marion PG Koopmans, Mireille Van de Veer, Phyllis Pinas, Princes Wongsowidjojo, Radjesh Ori, Ranisha Doerbalie, Rohma Banwari, Soeradj Harkisoen, Stephen Vreden, Tilotmadebie Ramlal, Verne Nanhoe
1963	hCoV-19/Ecuador/EC-M-143748/2020	EPI_ISL_831020	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	Instituto de Salud Publica de Chile	Javier Tognarelli, Barbara Parra, Loredana Arata, Jaime Lagos, Gisselle Barra, Alfredo Bruno, Domenica de Mora, Solon Narvaez, Jimmy Garcez, Michelle Paez, Martiza Olmedo, Manuel Gonzalez, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Jorge Fernandez
1964	hCoV-19/SouthAfrica/KRISP-0148/2020	EPI_ISL_467498	Molecular Diagnostics Services (MDS)	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T
1965	hCoV-19/SouthAfrica/KRISP-0266/2020	EPI_ISL_482853	Molecular Diagnostics Services (MDS)	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T
1966	hCoV-19/Cyprus/Cy023356/2020	EPI_ISL_1164626	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter, Pavlos Fanis, Christina Tryfonos, Dana Koptides, George Krashias, Stavros Bashiardes, Andreas Hadjisavvas, Maria Loizidou, Anastasis Oulas, Denise Alexandrou, Olga Kalakouta, Mihalis Panayiotidis, George Spyrou, Christina Christodoulou
1967	hCoV-19/SouthAfrica/Tygerberg-407/2020	EPI_ISL_745188	Nababeep Hospital	National Health Laboratory Service (NHLS), Tygerberg	Susan Engelbrecht, Kayla Delaney, Bronwyn Kleinhans, Houriiyah Tegally, Eduan Wilkindon, Gert van Zyl, Wolfgang Preiser, Tulio de Oliveira
1968	hCoV-19/Nigeria/AK-CV314/2020	EPI_ISL_729988	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al
1969	hCoV-19/Nigeria/OS-CV306/2020	EPI_ISL_729984	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al
1970	hCoV-19/NewZealand/20CV0499/2020	EPI_ISL_622827	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
1971	hCoV-19/Bolivia/Beni-GM3-1/2021	EPI_ISL_2802862	Laboratorio de Biologia Molecular, Hospital General de Guayaramerin, Beni, Bolivia	Microbiologia Molecular, Instituto SELADIS, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza, Carmen Delgado Barrera, Sandra Miranda Sardon, Aneth Vasquez Michel
1972	hCoV-19/Bolivia/Potosi-2/2021	EPI_ISL_1278282	Laboratorio de Biologia Molecular, SEDES-Potosi	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza, Aneth Vasquez Michel
